path,dir,file,export_default,export_named,imports_count,imported_by_count,reachable_from_entry,is_test_or_story,is_config_like,is_orphan
/src/components/ErrorBoundary.tsx,/src/components,ErrorBoundary.tsx,False,ErrorBoundary,2,0,False,False,False,True
/src/components/DevelopmentBanner.tsx,/src/components,DevelopmentBanner.tsx,False,DevelopmentBanner,2,1,True,False,False,False
/src/components/ApiConnectionTest.tsx,/src/components,ApiConnectionTest.tsx,False,ApiConnectionTest,4,1,True,False,False,False
/src/components/SupabaseConnectionStatus.tsx,/src/components,SupabaseConnectionStatus.tsx,False,SupabaseConnectionStatus,7,1,True,False,False,False
/src/components/navigation-update.tsx,/src/components,navigation-update.tsx,False,,0,0,False,False,False,True
/src/components/ui/accordion.tsx,/src/components/ui,accordion.tsx,False,"Accordion,AccordionItem,AccordionTrigger,AccordionContent",1,0,False,False,False,True
/src/components/ui/alert-dialog.tsx,/src/components/ui,alert-dialog.tsx,False,"AlertDialog,AlertDialogPortal,AlertDialogOverlay,AlertDialogTrigger,AlertDialogContent,AlertDialogHeader,AlertDialogFooter,AlertDialogTitle,AlertDialogDescription,AlertDialogAction,AlertDialogCancel",2,3,True,False,False,False
/src/components/ui/alert.tsx,/src/components/ui,alert.tsx,False,"Alert,AlertTitle,AlertDescription",1,47,True,False,False,False
/src/components/ui/aspect-ratio.tsx,/src/components/ui,aspect-ratio.tsx,False,AspectRatio,0,0,False,False,False,True
/src/components/ui/avatar.tsx,/src/components/ui,avatar.tsx,False,"Avatar,AvatarImage,AvatarFallback",1,59,True,False,False,False
/src/components/ui/badge.tsx,/src/components/ui,badge.tsx,False,"Badge,badgeVariants",1,178,True,False,False,False
/src/components/ui/breadcrumb.tsx,/src/components/ui,breadcrumb.tsx,False,"Breadcrumb,BreadcrumbList,BreadcrumbItem,BreadcrumbLink,BreadcrumbPage,BreadcrumbSeparator,BreadcrumbEllipsis",1,0,False,False,False,True
/src/components/ui/button.tsx,/src/components/ui,button.tsx,False,"Button,buttonVariants",1,185,True,False,False,False
/src/components/ui/calendar.tsx,/src/components/ui,calendar.tsx,False,Calendar,2,4,True,False,False,False
/src/components/ui/card.tsx,/src/components/ui,card.tsx,False,"Card,CardHeader,CardFooter,CardTitle,CardAction,CardDescription,CardContent",1,174,True,False,False,False
/src/components/ui/carousel.tsx,/src/components/ui,carousel.tsx,False,"type CarouselApi,Carousel,CarouselContent,CarouselItem,CarouselPrevious,CarouselNext",2,0,False,False,False,True
/src/components/ui/chart.tsx,/src/components/ui,chart.tsx,False,"ChartContainer,ChartTooltip,ChartTooltipContent,ChartLegend,ChartLegendContent,ChartStyle",1,0,False,False,False,True
/src/components/ui/checkbox.tsx,/src/components/ui,checkbox.tsx,False,Checkbox,1,37,True,False,False,False
/src/components/ui/collapsible.tsx,/src/components/ui,collapsible.tsx,False,"Collapsible,CollapsibleTrigger,CollapsibleContent",0,2,True,False,False,False
/src/components/ui/command.tsx,/src/components/ui,command.tsx,False,"Command,CommandDialog,CommandInput,CommandList,CommandEmpty,CommandGroup,CommandItem,CommandShortcut,CommandSeparator",2,2,True,False,False,False
/src/components/ui/context-menu.tsx,/src/components/ui,context-menu.tsx,False,"ContextMenu,ContextMenuTrigger,ContextMenuContent,ContextMenuItem,ContextMenuCheckboxItem,ContextMenuRadioItem,ContextMenuLabel,ContextMenuSeparator,ContextMenuShortcut,ContextMenuGroup,ContextMenuPortal,ContextMenuSub,ContextMenuSubContent,ContextMenuSubTrigger,ContextMenuRadioGroup",1,0,False,False,False,True
/src/components/ui/dialog.tsx,/src/components/ui,dialog.tsx,False,"Dialog,DialogClose,DialogContent,DialogDescription,DialogFooter,DialogHeader,DialogOverlay,DialogPortal,DialogTitle,DialogTrigger",1,88,True,False,False,False
/src/components/ui/drawer.tsx,/src/components/ui,drawer.tsx,False,"Drawer,DrawerPortal,DrawerOverlay,DrawerTrigger,DrawerClose,DrawerContent,DrawerHeader,DrawerFooter,DrawerTitle,DrawerDescription",1,0,False,False,False,True
/src/components/ui/dropdown-menu.tsx,/src/components/ui,dropdown-menu.tsx,False,"DropdownMenu,DropdownMenuPortal,DropdownMenuTrigger,DropdownMenuContent,DropdownMenuGroup,DropdownMenuLabel,DropdownMenuItem,DropdownMenuCheckboxItem,DropdownMenuRadioGroup,DropdownMenuRadioItem,DropdownMenuSeparator,DropdownMenuShortcut,DropdownMenuSub,DropdownMenuSubTrigger,DropdownMenuSubContent",1,43,True,False,False,False
/src/components/ui/form.tsx,/src/components/ui,form.tsx,False,"useFormField,Form,FormItem,FormLabel,FormControl,FormDescription,FormMessage,FormField",2,0,False,False,False,True
/src/components/ui/hover-card.tsx,/src/components/ui,hover-card.tsx,False,"HoverCard,HoverCardTrigger,HoverCardContent",1,0,False,False,False,True
/src/components/ui/input-otp.tsx,/src/components/ui,input-otp.tsx,False,"InputOTP,InputOTPGroup,InputOTPSlot,InputOTPSeparator",1,0,False,False,False,True
/src/components/ui/input.tsx,/src/components/ui,input.tsx,False,Input,1,123,True,False,False,False
/src/components/ui/label.tsx,/src/components/ui,label.tsx,False,Label,1,95,True,False,False,False
/src/components/ui/menubar.tsx,/src/components/ui,menubar.tsx,False,"Menubar,MenubarPortal,MenubarMenu,MenubarTrigger,MenubarContent,MenubarGroup,MenubarSeparator,MenubarLabel,MenubarItem,MenubarShortcut,MenubarCheckboxItem,MenubarRadioGroup,MenubarRadioItem,MenubarSub,MenubarSubTrigger,MenubarSubContent",1,0,False,False,False,True
