path,dir,file,export_default,export_named,imports_count,imported_by_count,reachable_from_entry,is_test_or_story,is_config_like,is_orphan
/src/components/ui/drawer.tsx,/src/components/ui,drawer.tsx,False,"Drawer,DrawerPortal,DrawerOverlay,DrawerTrigger,DrawerClose,DrawerContent,DrawerHeader,DrawerFooter,DrawerTitle,DrawerDescription",1,0,False,False,False,True
/src/components/ui/form.tsx,/src/components/ui,form.tsx,False,"useFormField,Form,FormItem,FormLabel,FormControl,FormDescription,FormMessage,FormField",2,0,False,False,False,True
/src/components/ui/hover-card.tsx,/src/components/ui,hover-card.tsx,False,"HoverCard,HoverCardTrigger,HoverCardContent",1,0,False,False,False,True
/src/components/ui/input-otp.tsx,/src/components/ui,input-otp.tsx,False,"InputOTP,InputOTPGroup,InputOTPSlot,InputOTPSeparator",1,0,False,False,False,True
/src/components/ui/menubar.tsx,/src/components/ui,menubar.tsx,False,"Menubar,MenubarPortal,MenubarMenu,MenubarTrigger,MenubarContent,MenubarGroup,MenubarSeparator,MenubarLabel,MenubarItem,MenubarShortcut,MenubarCheckboxItem,MenubarRadioGroup,MenubarRadioItem,MenubarSub,MenubarSubTrigger,MenubarSubContent",1,0,False,False,False,True
/src/components/ui/navigation-menu.tsx,/src/components/ui,navigation-menu.tsx,False,"NavigationMenu,NavigationMenuList,NavigationMenuItem,NavigationMenuContent,NavigationMenuTrigger,NavigationMenuLink,NavigationMenuIndicator,NavigationMenuViewport,navigationMenuTriggerStyle",1,0,False,False,False,True
/src/components/ui/pagination.tsx,/src/components/ui,pagination.tsx,False,"Pagination,PaginationContent,PaginationLink,PaginationItem,PaginationPrevious,PaginationNext,PaginationEllipsis",2,0,False,False,False,True
/src/components/ui/resizable.tsx,/src/components/ui,resizable.tsx,False,"ResizablePanelGroup,ResizablePanel,ResizableHandle",1,0,False,False,False,True
/src/components/ui/sidebar.tsx,/src/components/ui,sidebar.tsx,False,"Sidebar,SidebarContent,SidebarFooter,SidebarGroup,SidebarGroupAction,SidebarGroupContent,SidebarGroupLabel,SidebarHeader,SidebarInput,SidebarInset,SidebarMenu,SidebarMenuAction,SidebarMenuBadge,SidebarMenuButton,SidebarMenuItem,SidebarMenuSkeleton,SidebarMenuSub,SidebarMenuSubButton,SidebarMenuSubItem,SidebarProvider,SidebarRail,SidebarSeparator,SidebarTrigger,useSidebar",8,0,False,False,False,True
/src/components/ui/sonner.tsx,/src/components/ui,sonner.tsx,False,Toaster,0,0,False,False,False,True
/src/components/ui/toggle-group.tsx,/src/components/ui,toggle-group.tsx,False,"ToggleGroup,ToggleGroupItem",2,0,False,False,False,True
/src/gitignore/Code-component-76-133.tsx,/src/gitignore,Code-component-76-133.tsx,False,,0,0,False,False,False,True
/src/gitignore/Code-component-76-148.tsx,/src/gitignore,Code-component-76-148.tsx,False,,0,0,False,False,False,True
/src/supabase/functions/server/deploy.tsx,/src/supabase/functions/server,deploy.tsx,False,,1,0,False,False,False,True
/src/supabase/functions/server/main.tsx,/src/supabase/functions/server,main.tsx,False,,1,0,False,False,False,True
/src/supabase/functions/server/retreats.tsx,/src/supabase/functions/server,retreats.tsx,True,,1,0,False,False,False,True
/src/supabase/functions/server/server-start.tsx,/src/supabase/functions/server,server-start.tsx,True,app,4,0,False,False,False,True
/src/supabase/functions/server/start-server.tsx,/src/supabase/functions/server,start-server.tsx,False,,0,0,False,False,False,True
/src/utils/i18n/fallbacks.ts,/src/utils/i18n,fallbacks.ts,False,FALLBACK_TRANSLATIONS,0,0,False,False,False,True
/src/utils/supabase/community-integration.ts,/src/utils/supabase,community-integration.ts,True,"createCommunityIntegrationService,CommunityIntegrationUtils",0,0,False,False,False,True
/src/utils/supabase/env-clean.ts,/src/utils/supabase,env-clean.ts,False,"getSupabaseUrl,getSupabaseAnonKey,getSupabaseProjectId,getSupabaseServiceRoleKey,EFFECTIVE_SUPABASE_URL,EFFECTIVE_SUPABASE_ANON_KEY,EFFECTIVE_PROJECT_ID,SWISS_CONFIG,validateSupabaseEnvironment,logSupabaseConfig",1,0,False,False,False,True
/src/utils/supabase/env-safe.ts,/src/utils/supabase,env-safe.ts,True,"SWISS_CONFIG,getEnvironmentVariable,getSupabaseConfig,validateSupabaseConfig,logSupabaseConfiguration",1,0,False,False,False,True
/src/utils/supabase/env-simple.ts,/src/utils/supabase,env-simple.ts,True,"SWISS_CONFIG,getSupabaseUrl,getSupabaseAnonKey,getSupabaseProjectId,getSupabaseServiceRoleKey,SUPABASE_URL,SUPABASE_ANON_KEY,SUPABASE_PROJECT_ID,API_BASE_URL,validateConfiguration,logConfiguration",1,0,False,False,False,True
/src/utils/supabase/people-service-clean.ts,/src/utils/supabase,people-service-clean.ts,False,"PeopleService,peopleService",2,0,False,False,False,True
/src/utils/supabase/seed-data.ts,/src/utils/supabase,seed-data.ts,False,"DEMO_ORGS,DEMO_USERS,DEMO_LOCATIONS,DEMO_CLASS_TEMPLATES,DEMO_PRODUCTS,generateDemoClassOccurrences,DEMO_ORDERS",0,0,False,False,False,True
